PG.ProteinGroups	PG.ProteinDescriptions	[1] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_10.raw.PG.Quantity	[2] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_11.raw.PG.Quantity	[3] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_12.raw.PG.Quantity	[4] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_13.raw.PG.Quantity	[5] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_14.raw.PG.Quantity	[6] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_15.raw.PG.Quantity	[7] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_16.raw.PG.Quantity	[8] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_17.raw.PG.Quantity	[9] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_18.raw.PG.Quantity	[10] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_19.raw.PG.Quantity	[11] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_20.raw.PG.Quantity	[12] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_21.raw.PG.Quantity	[13] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_22.raw.PG.Quantity	[14] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_23.raw.PG.Quantity	[15] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_24.raw.PG.Quantity	[16] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_25.raw.PG.Quantity	[17] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_26.raw.PG.Quantity	[18] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_27.raw.PG.Quantity	[19] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_37.raw.PG.Quantity	[20] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_38.raw.PG.Quantity	[21] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_39.raw.PG.Quantity	[22] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_40.raw.PG.Quantity	[23] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_41.raw.PG.Quantity	[24] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_42.raw.PG.Quantity	[25] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_43.raw.PG.Quantity	[26] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_44.raw.PG.Quantity	[27] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_45.raw.PG.Quantity	[28] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_49.raw.PG.Quantity	[29] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_50.raw.PG.Quantity	[30] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_51.raw.PG.Quantity	[31] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_52.raw.PG.Quantity	[32] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_53.raw.PG.Quantity
A0A0B5EEZ1	Type I restriction endonuclease subunit M	201460.609375	152539.9375	191089	1193639	839880.375	752396.0625	2434050.75	2668185.5	2358597	158451.09375	126063.953125	116712.1640625	464688.125	610707.875	596420.1875	265071.46875	371463.46875	275566.6875	279602.96875	513052.03125	283050.71875	1369543.75	1365188.875	2370894.75	2349028.5	2324455.5	319115.25	1063135.375	695118.875	698656.25	738860.375	578753
A0A0B5EF40	Coagulation factor 5/8 type domain-containing protein	161783.328125	888490.6875	1408668.625	4303980.5	2649385.75	6847908.5	2585361	4345412	2638217	693045.1875	511947.96875	92.24766540527344	3119158	45810.171875	2335014.25	621369.875	3058989	4008459.25	2046373.875	20269694	4131250.25	5048520.5	1599446.25	3793279.75	4506515.5	3377797.75	6630096.5	7520845.5	5472179	1976149.375	448835.375	1018759.1875
A0A0B5EFC2	Sporulation protein K	47310.2578125	40705.9296875	56067.48046875	65702.9609375	50297.28515625	74720.53125	141151.6875	35566.30859375	72647.875	57981.26171875	35284.6875	47125.296875	87128.7109375	49043.40234375	165814.078125	625613.25	Filtered	892959.4375	34834.47265625	546076.5625	1495.5921630859375	69711.484375	16958.40625	86927.5703125	384258.21875	79066.15625	55687.28125	57007.76953125	54135.9453125	110776.2578125	76717.265625	52115.328125
A0A0B5EFG7	Extracellular solute-binding protein	674095.375	592329.75	577062.8125	61653.9609375	23054.54296875	49489.0078125	54660.2421875	34143.734375	64229.671875	686297.5625	601699.125	796867.9375	51738.98046875	38120.88671875	73957.5234375	213709.203125	46199.9921875	131645.640625	739653.0625	919384.75	946849.5625	94840.6796875	154469.96875	88773.5625	60531.86328125	82747.5078125	12676.8896484375	56763.90234375	57745.7421875	122899.2734375	74929.7734375	83245.8828125
A0A0B5EFI7	Acetyl-CoA acetyltransferase	788134.25	1524787.25	1343663.75	581090.8125	703229.0625	1708699.875	398491.53125	378184.46875	1340393.875	480847.5625	585234.4375	493141.46875	260163.3125	401986.53125	397711.3125	1825550.125	1379392.5	2691458	4731151.5	Filtered	14937859	475050.375	1147004.625	2028992.875	2986274.25	2825308.75	716285.25	572655.375	354316.78125	956488.625	2981850.25	1236857.5
A0A0B5EFS0	Enoyl-CoA hydratase 2	4028418	3477399.25	3250543.25	759699.0625	766430.375	758783.1875	784225.125	513307.4375	997545.0625	2237670	2810000	2063414	996046.75	1553520	878352.4375	1856467.625	1054145.75	1569491.25	2258137.75	3304423	3601171.5	276133.65625	129013.96875	354266.28125	123368.765625	146611.984375	506506.53125	355414.21875	312358.40625	180361.546875	541077.625	252812.015625
A0A0B5EFV0	Exonuclease	128623.6640625	119066.6484375	164934.859375	118537.9453125	87903.0703125	87941.2109375	646692.875	712542.5625	888147.0625	178561.5625	127573.828125	123775.765625	77180.578125	101255.1484375	68048.96875	1463616.625	1238994.625	1234233.625	260603.453125	95156.828125	56544.05078125	96042.4296875	135237.375	381884.4375	338636.625	467531.375	230807.25	87341.0859375	75339.5546875	593562.3125	579781.8125	951830
A0A0B5EFY2	Glucokinase	841.0910034179688	1566.7132568359375	2983.873779296875	3158.426513671875	1340.71142578125	543.833251953125	3474.777099609375	1881.7015380859375	3369.994384765625	512.6019287109375	1668.6973876953125	1617.2916259765625	Filtered	Filtered	1450.5037841796875	2.740427255630493	3615.493408203125	Filtered	5334.3828125	12.046871185302734	Filtered	4314.44921875	4382.3046875	3314.1767578125	7560.25341796875	6295.9814453125	5567.76025390625	318.3033447265625	1189.6759033203125	9731.4189453125	1999.8115234375	7907.81298828125
A0A0B5EG98	Arginine/ornithine transport system ATPase	171075.703125	111034.5859375	109891.3671875	39778.453125	50618.125	36598.68359375	91600.4375	66836.7890625	60431.4453125	65174.734375	55333.59375	69424.6796875	21233.462890625	18253.44921875	18444.9453125	56725.42578125	101727.359375	23683.83203125	107215.2578125	133186.953125	134008.421875	33961.17578125	33808.3359375	52848.40234375	61141.9296875	61570.2265625	21241.552734375	9627.4765625	19691.22265625	32993.03125	24565.55859375	27092.03515625
A0A0B5EGB2	Sulfate adenylyltransferase subunit 2	27595.9140625	NaN	32803.93359375	324751.21875	315708.875	130952.3125	33094.8125	44380.82421875	76930.4609375	31232.203125	33600.37109375	53743.53515625	152082.03125	151579.3125	155845.15625	9.465667724609375	114261.2734375	4064.833984375	7.480128765106201	Filtered	8.53406810760498	132686.703125	48865.63671875	79837.2265625	100142.328125	67145.921875	223179.1875	75941.5078125	61505.578125	123805.9296875	109574.5390625	139192.1875
