2023-02-07 10:04:07 - ductape.actions - [INFO] - Project successfully created
2023-02-07 10:04:07 - ductape.actions - [DEBUG] - Project - DuctApe project - generic - Tue Feb  7 10:04:07 2023 - Tue Feb  7 10:04:07 2023
2023-02-07 10:04:07 - ductape.actions - [DEBUG] - Project - DuctApe project - generic - Tue Feb  7 10:04:07 2023 - Tue Feb  7 10:04:07 2023
2023-02-07 10:04:07 - ductape.actions - [INFO] - Added organism J1074
2023-02-07 10:04:07 - ductape.actions - [DEBUG] - Project - DuctApe project - generic - Tue Feb  7 10:04:07 2023 - Tue Feb  7 10:04:07 2023
2023-02-07 10:04:08 - ductape.actions - [DEBUG] - Project - DuctApe project - generic - Tue Feb  7 10:04:07 2023 - Tue Feb  7 10:04:08 2023
2023-02-07 10:04:10 - ductape.biolog - [WARNING] - YAML/OPM parsing failed!
2023-02-07 10:04:10 - ductape.biolog - [DEBUG] - string indices must be integers
2023-02-07 10:04:10 - ductape.biolog - [WARNING] - This CSV file appears to be following the "old" format
2023-02-07 10:04:10 - ductape.biolog - [WARNING] - Switching to the old parser
2023-02-07 10:04:10 - ductape.biolog - [WARNING] - CSV (new version) parsing failed!
2023-02-07 10:04:10 - ductape.biolog - [DEBUG] - Encountered "Data File" as header, assuming old CSV format
2023-02-07 10:04:10 - ductape.actions - [DEBUG] - No sign of J1074 in sample field ("Field 2" in new CSV version)
2023-02-07 10:04:10 - ductape.actions - [DEBUG] - No sign of J1074 in strainNumber field ("Field 4" in new CSV version)
2023-02-07 10:04:11 - ductape.actions - [INFO] - Added phenome J1074, having 12 biolog plates (1152 wells)
2023-02-07 10:04:11 - ductape.actions - [DEBUG] - Project - DuctApe project - generic - Tue Feb  7 10:04:07 2023 - Tue Feb  7 10:04:11 2023
2023-02-07 10:04:11 - ductape.actions - [DEBUG] - Project - DuctApe project - generic - Tue Feb  7 10:04:07 2023 - Tue Feb  7 10:04:11 2023
2023-02-07 10:04:11 - ductape.biolog - [INFO] - Normal zero subtraction
2023-02-07 10:04:12 - ductape.actions - [INFO] - Zero subtraction done on 12 plates
2023-02-07 10:04:12 - ductape.actions - [DEBUG] - Project - DuctApe project - generic - Tue Feb  7 10:04:07 2023 - Tue Feb  7 10:04:12 2023
2023-02-07 10:23:16 - ductape.actions - [DEBUG] - Project - DuctApe project - generic - Tue Feb  7 10:04:07 2023 - Tue Feb  7 10:23:16 2023
2023-02-07 10:23:16 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A01
2023-02-07 10:23:16 - ductape.terminal - [INFO] - 1 - Calculating parameters
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A02
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A03
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A04
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A05
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A06
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A07
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A08
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A09
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A10
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A11
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - A12
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B01
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B02
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B03
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B04
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B05
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B06
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B07
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B08
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B09
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B10
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B11
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - B12
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C01
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C02
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C03
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C04
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C05
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C06
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C07
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C08
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C09
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C10
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C11
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - C12
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D01
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D02
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D03
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D04
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D05
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D06
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D07
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D08
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D09
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D10
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D11
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - D12
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E01
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E02
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E03
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E04
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E05
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E06
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E07
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E08
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E09
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E10
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E11
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - E12
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F01
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F02
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F03
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F04
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F05
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F06
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F07
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F08
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F09
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F10
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F11
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - F12
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G01
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G02
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G03
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G04
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G05
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G06
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G07
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G08
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G09
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G10
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G11
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - G12
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - H01
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - H02
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - H03
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - H04
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - H05
2023-02-07 10:23:17 - ductape.biolog - [DEBUG] - Calculating parameters for PM01 - H06
